query,value,formattedValue,hasData,link
coronavirus symptoms,100,100,True,/trends/explore?q=coronavirus+symptoms&date=2004-01-1+2020-03-17
corona,99,99,True,/trends/explore?q=corona&date=2004-01-1+2020-03-17
coronavirus update,85,85,True,/trends/explore?q=coronavirus+update&date=2004-01-1+2020-03-17
news coronavirus,77,77,True,/trends/explore?q=news+coronavirus&date=2004-01-1+2020-03-17
corona virus,56,56,True,/trends/explore?q=corona+virus&date=2004-01-1+2020-03-17
coronavirus cases,54,54,True,/trends/explore?q=coronavirus+cases&date=2004-01-1+2020-03-17
china coronavirus,51,51,True,/trends/explore?q=china+coronavirus&date=2004-01-1+2020-03-17
coronavirus italia,48,48,True,/trends/explore?q=coronavirus+italia&date=2004-01-1+2020-03-17
uk coronavirus,48,48,True,/trends/explore?q=uk+coronavirus&date=2004-01-1+2020-03-17
coronavirus map,45,45,True,/trends/explore?q=coronavirus+map&date=2004-01-1+2020-03-17
el coronavirus,39,39,True,/trends/explore?q=el+coronavirus&date=2004-01-1+2020-03-17
coronavirus france,38,38,True,/trends/explore?q=coronavirus+france&date=2004-01-1+2020-03-17
sintomas coronavirus,31,31,True,/trends/explore?q=sintomas+coronavirus&date=2004-01-1+2020-03-17
usa coronavirus,30,30,True,/trends/explore?q=usa+coronavirus&date=2004-01-1+2020-03-17
coronavirus us,30,30,True,/trends/explore?q=coronavirus+us&date=2004-01-1+2020-03-17
symptoms of coronavirus,29,29,True,/trends/explore?q=symptoms+of+coronavirus&date=2004-01-1+2020-03-17
coronavirus india,28,28,True,/trends/explore?q=coronavirus+india&date=2004-01-1+2020-03-17
coronavirus españa,26,26,True,/trends/explore?q=coronavirus+espa%C3%B1a&date=2004-01-1+2020-03-17
italy,24,24,True,/trends/explore?q=italy&date=2004-01-1+2020-03-17
what is coronavirus,24,24,True,/trends/explore?q=what+is+coronavirus&date=2004-01-1+2020-03-17
coronavirus live,24,24,True,/trends/explore?q=coronavirus+live&date=2004-01-1+2020-03-17
italy coronavirus,24,24,True,/trends/explore?q=italy+coronavirus&date=2004-01-1+2020-03-17
coronavirus latest,19,19,True,/trends/explore?q=coronavirus+latest&date=2004-01-1+2020-03-17
coronavirus deutschland,17,17,True,/trends/explore?q=coronavirus+deutschland&date=2004-01-1+2020-03-17
wuhan,17,17,True,/trends/explore?q=wuhan&date=2004-01-1+2020-03-17
coronavirus symptoms,452400,Breakout,,/trends/explore?q=coronavirus+symptoms&date=2004-01-1+2020-03-17
coronavirus update,386400,Breakout,,/trends/explore?q=coronavirus+update&date=2004-01-1+2020-03-17
news coronavirus,347200,Breakout,,/trends/explore?q=news+coronavirus&date=2004-01-1+2020-03-17
coronavirus cases,245200,Breakout,,/trends/explore?q=coronavirus+cases&date=2004-01-1+2020-03-17
china coronavirus,232050,Breakout,,/trends/explore?q=china+coronavirus&date=2004-01-1+2020-03-17
coronavirus italia,217900,Breakout,,/trends/explore?q=coronavirus+italia&date=2004-01-1+2020-03-17
uk coronavirus,216700,Breakout,,/trends/explore?q=uk+coronavirus&date=2004-01-1+2020-03-17
coronavirus map,205150,Breakout,,/trends/explore?q=coronavirus+map&date=2004-01-1+2020-03-17
el coronavirus,178500,Breakout,,/trends/explore?q=el+coronavirus&date=2004-01-1+2020-03-17
coronavirus france,173650,Breakout,,/trends/explore?q=coronavirus+france&date=2004-01-1+2020-03-17
sintomas coronavirus,138200,Breakout,,/trends/explore?q=sintomas+coronavirus&date=2004-01-1+2020-03-17
usa coronavirus,134800,Breakout,,/trends/explore?q=usa+coronavirus&date=2004-01-1+2020-03-17
coronavirus us,133950,Breakout,,/trends/explore?q=coronavirus+us&date=2004-01-1+2020-03-17
symptoms of coronavirus,133350,Breakout,,/trends/explore?q=symptoms+of+coronavirus&date=2004-01-1+2020-03-17
coronavirus españa,118550,Breakout,,/trends/explore?q=coronavirus+espa%C3%B1a&date=2004-01-1+2020-03-17
italy,109350,Breakout,,/trends/explore?q=italy&date=2004-01-1+2020-03-17
what is coronavirus,108900,Breakout,,/trends/explore?q=what+is+coronavirus&date=2004-01-1+2020-03-17
coronavirus live,106950,Breakout,,/trends/explore?q=coronavirus+live&date=2004-01-1+2020-03-17
italy coronavirus,106400,Breakout,,/trends/explore?q=italy+coronavirus&date=2004-01-1+2020-03-17
coronavirus latest,87650,Breakout,,/trends/explore?q=coronavirus+latest&date=2004-01-1+2020-03-17
coronavirus deutschland,78450,Breakout,,/trends/explore?q=coronavirus+deutschland&date=2004-01-1+2020-03-17
wuhan,75400,Breakout,,/trends/explore?q=wuhan&date=2004-01-1+2020-03-17
wuhan coronavirus,72450,Breakout,,/trends/explore?q=wuhan+coronavirus&date=2004-01-1+2020-03-17
symptome coronavirus,71900,Breakout,,/trends/explore?q=symptome+coronavirus&date=2004-01-1+2020-03-17
who coronavirus,71500,Breakout,,/trends/explore?q=who+coronavirus&date=2004-01-1+2020-03-17
