,root,edge,source,target,rank,depth,search_engine,datetime
47,COVID19,"('covid 19 status', 'covid 19 stats italy')",covid 19 status,covid 19 stats italy,7,2,google,2020-03-17 06:15:05.584441
48,COVID19,"('covid 19 status', 'covid 19 status in india')",covid 19 status,covid 19 status in india,8,2,google,2020-03-17 06:15:05.584441
49,COVID19,"('covid 19 status', 'covid 19 status world map')",covid 19 status,covid 19 status world map,9,2,google,2020-03-17 06:15:05.584441
50,COVID19,"('covid19 status usa', 'covid19 status usa map')",covid19 status usa,covid19 status usa map,1,2,google,2020-03-17 06:15:06.361067
51,COVID19,"('covid19 status usa', 'covid19 status usa today')",covid19 status usa,covid19 status usa today,2,2,google,2020-03-17 06:15:06.361067
52,COVID19,"('covid 19 status indiana', 'covid 19 status indianapolis')",covid 19 status indiana,covid 19 status indianapolis,1,2,google,2020-03-17 06:15:07.592906
53,COVID19,"('covid 19 world tally', 'covid 19 world tally map')",covid 19 world tally,covid 19 world tally map,1,2,google,2020-03-17 06:15:14.281178
54,COVID19,"('covid 19 world', 'covid 19 world map')",covid 19 world,covid 19 world map,1,2,google,2020-03-17 06:15:15.164175
55,COVID19,"('covid 19 world', 'covid 19 worldwide cases')",covid 19 world,covid 19 worldwide cases,2,2,google,2020-03-17 06:15:15.164175
56,COVID19,"('covid 19 world', 'covid 19 worldwide')",covid 19 world,covid 19 worldwide,3,2,google,2020-03-17 06:15:15.164175
57,COVID19,"('covid 19 world', 'covid 19 world map count')",covid 19 world,covid 19 world map count,4,2,google,2020-03-17 06:15:15.164175
58,COVID19,"('covid 19 world', 'covid 19 world cases')",covid 19 world,covid 19 world cases,5,2,google,2020-03-17 06:15:15.164175
59,COVID19,"('covid 19 world', 'covid 19 worldwide death toll')",covid 19 world,covid 19 worldwide death toll,6,2,google,2020-03-17 06:15:15.164175
60,COVID19,"('covid 19 world', 'covid 19 world map johns hopkins')",covid 19 world,covid 19 world map johns hopkins,7,2,google,2020-03-17 06:15:15.164175
61,COVID19,"('covid 19 world', 'covid 19 worldwide tally')",covid 19 world,covid 19 worldwide tally,8,2,google,2020-03-17 06:15:15.164175
62,COVID19,"('covid 19 world', 'covid 19 worldwide tally by country')",covid 19 world,covid 19 worldwide tally by country,9,2,google,2020-03-17 06:15:15.164175
63,COVID19,"('covid 19 world map', 'covid 19 world map count')",covid 19 world map,covid 19 world map count,1,2,google,2020-03-17 06:15:16.146169
64,COVID19,"('covid 19 world map', 'covid 19 world map john hopkins')",covid 19 world map,covid 19 world map john hopkins,2,2,google,2020-03-17 06:15:16.146169
65,COVID19,"('covid 19 world map', 'covid 19 world map tracker')",covid 19 world map,covid 19 world map tracker,3,2,google,2020-03-17 06:15:16.146169
66,COVID19,"('covid 19 world map', 'covid 19 world map spread')",covid 19 world map,covid 19 world map spread,4,2,google,2020-03-17 06:15:16.146169
67,COVID19,"('covid 19 world map', 'covid 19 world map interactive')",covid 19 world map,covid 19 world map interactive,5,2,google,2020-03-17 06:15:16.146169
68,COVID19,"('covid 19 world map', 'covid 19 world map numbers')",covid 19 world map,covid 19 world map numbers,6,2,google,2020-03-17 06:15:16.146169
69,COVID19,"('covid 19 world map', 'covid 19 world map live')",covid 19 world map,covid 19 world map live,7,2,google,2020-03-17 06:15:16.146169
70,COVID19,"('covid 19 worldwide', 'covid 19 worldwide cases')",covid 19 worldwide,covid 19 worldwide cases,1,2,google,2020-03-17 06:15:17.029282
71,COVID19,"('covid 19 worldwide', 'covid 19 worldwide death toll')",covid 19 worldwide,covid 19 worldwide death toll,2,2,google,2020-03-17 06:15:17.029282
72,COVID19,"('covid 19 worldwide', 'covid 19 worldwide tracker')",covid 19 worldwide,covid 19 worldwide tracker,3,2,google,2020-03-17 06:15:17.029282
73,COVID19,"('covid 19 worldwide', 'covid 19 worldwide cases map')",covid 19 worldwide,covid 19 worldwide cases map,4,2,google,2020-03-17 06:15:17.029282
74,COVID19,"('covid 19 worldwide', 'covid 19 worldwide death count')",covid 19 worldwide,covid 19 worldwide death count,5,2,google,2020-03-17 06:15:17.029282
75,COVID19,"('covid 19 worldwide', 'covid 19 worldwide cases and deaths')",covid 19 worldwide,covid 19 worldwide cases and deaths,6,2,google,2020-03-17 06:15:17.029282
76,COVID19,"('covid 19 worldwide', 'covid 19 worldwide tally')",covid 19 worldwide,covid 19 worldwide tally,7,2,google,2020-03-17 06:15:17.029282
77,COVID19,"('covid 19 worldwide', 'covid 19 worldwide cases update')",covid 19 worldwide,covid 19 worldwide cases update,8,2,google,2020-03-17 06:15:17.029282
78,COVID19,"('covid 19 worldwide', 'covid 19 worldwide tally today')",covid 19 worldwide,covid 19 worldwide tally today,9,2,google,2020-03-17 06:15:17.029282
79,COVID19,"('covid 19 worldwide cases', 'covid 19 worldwide cases update')",covid 19 worldwide cases,covid 19 worldwide cases update,1,2,google,2020-03-17 06:15:18.494890
80,COVID19,"('covid 19 worldwide cases', 'covid 19 worldwide cases chart')",covid 19 worldwide cases,covid 19 worldwide cases chart,2,2,google,2020-03-17 06:15:18.494890
81,COVID19,"('covid 19 worldwide cases', 'covid 19 worldwide cases map')",covid 19 worldwide cases,covid 19 worldwide cases map,3,2,google,2020-03-17 06:15:18.494890
82,COVID19,"('covid 19 worldwide cases', 'covid 19 worldwide cases count')",covid 19 worldwide cases,covid 19 worldwide cases count,4,2,google,2020-03-17 06:15:18.494890
83,COVID19,"('covid 19 worldwide cases', 'covid 19 worldwide cases and deaths')",covid 19 worldwide cases,covid 19 worldwide cases and deaths,5,2,google,2020-03-17 06:15:18.494890
84,COVID19,"('covid 19 live map', 'covid 19 live map count')",covid 19 live map,covid 19 live map count,1,2,google,2020-03-17 06:15:22.867354
85,COVID19,"('covid 19 live map', 'covid 19 live map johns hopkins')",covid 19 live map,covid 19 live map johns hopkins,2,2,google,2020-03-17 06:15:22.867354
86,COVID19,"('covid 19 live map', 'covid 19 live map updates')",covid 19 live map,covid 19 live map updates,3,2,google,2020-03-17 06:15:22.867354
87,COVID19,"('covid 19 live map', 'covid 19 live map tracker')",covid 19 live map,covid 19 live map tracker,4,2,google,2020-03-17 06:15:22.867354
88,COVID19,"('covid 19 live map', 'covid 19 live map hopkins')",covid 19 live map,covid 19 live map hopkins,5,2,google,2020-03-17 06:15:22.867354
89,COVID19,"('covid 19 status us', 'covid19 status usa')",covid 19 status us,covid19 status usa,1,3,google,2020-03-17 06:15:39.043304
90,COVID19,"('covid 19 worldwide tally', 'covid 19 worldwide tally update')",covid 19 worldwide tally,covid 19 worldwide tally update,1,3,google,2020-03-17 06:15:49.950593
91,COVID19,"('covid 19 worldwide tally', 'covid 19 worldwide tally today')",covid 19 worldwide tally,covid 19 worldwide tally today,2,3,google,2020-03-17 06:15:49.950593
92,COVID19,"('covid 19 worldwide tally', 'covid 19 worldwide tally latest')",covid 19 worldwide tally,covid 19 worldwide tally latest,3,3,google,2020-03-17 06:15:49.950593
