,root,edge,source,target,rank,depth,search_engine,datetime
0,COVID19,"('COVID19', 'covid19 status')",COVID19,covid19 status,1,0,google,2020-03-17 06:14:52.588602
1,COVID19,"('COVID19', 'covid19 world')",COVID19,covid19 world,2,0,google,2020-03-17 06:14:52.588602
2,COVID19,"('COVID19', 'covid19 deaths us')",COVID19,covid19 deaths us,3,0,google,2020-03-17 06:14:52.588602
3,COVID19,"('COVID19', 'covid 19 status map')",COVID19,covid 19 status map,4,0,google,2020-03-17 06:14:52.588602
4,COVID19,"('COVID19', 'covid 19 live')",COVID19,covid 19 live,5,0,google,2020-03-17 06:14:52.588602
5,COVID19,"('COVID19', 'covid19 status us')",COVID19,covid19 status us,6,0,google,2020-03-17 06:14:52.588602
6,COVID19,"('COVID19', 'covid 19 wiki')",COVID19,covid 19 wiki,7,0,google,2020-03-17 06:14:52.588602
7,COVID19,"('COVID19', 'covid 19 ky gov')",COVID19,covid 19 ky gov,8,0,google,2020-03-17 06:14:52.588602
8,COVID19,"('COVID19', 'covid19 status michigan')",COVID19,covid19 status michigan,9,0,google,2020-03-17 06:14:52.588602
9,COVID19,"('COVID19', 'covid 19 status georgia')",COVID19,covid 19 status georgia,10,0,google,2020-03-17 06:14:52.588602
10,COVID19,"('covid19 status', 'covid 19 status')",covid19 status,covid 19 status,1,1,google,2020-03-17 06:14:53.464688
11,COVID19,"('covid19 status', 'covid19 status usa')",covid19 status,covid19 status usa,2,1,google,2020-03-17 06:14:53.464688
12,COVID19,"('covid19 status', 'covid19 status michigan')",covid19 status,covid19 status michigan,3,1,google,2020-03-17 06:14:53.464688
13,COVID19,"('covid19 status', 'covid 19 status georgia')",covid19 status,covid 19 status georgia,4,1,google,2020-03-17 06:14:53.464688
14,COVID19,"('covid19 status', 'covid 19 status indiana')",covid19 status,covid 19 status indiana,5,1,google,2020-03-17 06:14:53.464688
15,COVID19,"('covid19 status', 'covid 19 status utah')",covid19 status,covid 19 status utah,6,1,google,2020-03-17 06:14:53.464688
16,COVID19,"('covid19 status', 'covid19 status florida')",covid19 status,covid19 status florida,7,1,google,2020-03-17 06:14:53.464688
17,COVID19,"('covid19 status', 'covid 19 status wisconsin')",covid19 status,covid 19 status wisconsin,8,1,google,2020-03-17 06:14:53.464688
18,COVID19,"('covid19 status', 'covid19 status arizona')",covid19 status,covid19 status arizona,9,1,google,2020-03-17 06:14:53.464688
19,COVID19,"('covid19 status', 'covid 19 stats italy')",covid19 status,covid 19 stats italy,10,1,google,2020-03-17 06:14:53.464688
20,COVID19,"('covid19 world', 'covid 19 world tally')",covid19 world,covid 19 world tally,1,1,google,2020-03-17 06:14:54.324991
21,COVID19,"('covid19 world', 'covid 19 world')",covid19 world,covid 19 world,2,1,google,2020-03-17 06:14:54.324991
22,COVID19,"('covid19 world', 'covid 19 world map')",covid19 world,covid 19 world map,3,1,google,2020-03-17 06:14:54.324991
23,COVID19,"('covid19 world', 'covid 19 worldwide')",covid19 world,covid 19 worldwide,4,1,google,2020-03-17 06:14:54.324991
24,COVID19,"('covid19 world', 'covid 19 worldwide cases')",covid19 world,covid 19 worldwide cases,5,1,google,2020-03-17 06:14:54.324991
25,COVID19,"('covid19 world', 'covid 19 worldometers')",covid19 world,covid 19 worldometers,6,1,google,2020-03-17 06:14:54.324991
26,COVID19,"('covid19 world', 'covid 19 world update')",covid19 world,covid 19 world update,7,1,google,2020-03-17 06:14:54.324991
27,COVID19,"('covid19 world', 'covid 19 worldwide tally by country')",covid19 world,covid 19 worldwide tally by country,8,1,google,2020-03-17 06:14:54.324991
28,COVID19,"('covid 19 live', 'covid 19 live map')",covid 19 live,covid 19 live map,1,1,google,2020-03-17 06:14:58.048225
29,COVID19,"('covid 19 live', 'covid 19 live world map count')",covid 19 live,covid 19 live world map count,2,1,google,2020-03-17 06:14:58.048225
30,COVID19,"('covid 19 live', 'covid 19 live updates usa')",covid 19 live,covid 19 live updates usa,3,1,google,2020-03-17 06:14:58.048225
31,COVID19,"('covid 19 live', 'covid 19 live updates cdc')",covid 19 live,covid 19 live updates cdc,4,1,google,2020-03-17 06:14:58.048225
32,COVID19,"('covid 19 live', 'covid 19 live dashboard')",covid 19 live,covid 19 live dashboard,5,1,google,2020-03-17 06:14:58.048225
33,COVID19,"('covid 19 live', 'covid 19 live updates ohio')",covid 19 live,covid 19 live updates ohio,6,1,google,2020-03-17 06:14:58.048225
34,COVID19,"('covid 19 live', 'covid 19 live updates florida')",covid 19 live,covid 19 live updates florida,7,1,google,2020-03-17 06:14:58.048225
35,COVID19,"('covid 19 live', 'covid 19 live updates michigan')",covid 19 live,covid 19 live updates michigan,8,1,google,2020-03-17 06:14:58.048225
36,COVID19,"('covid 19 live', 'covid 19 live updates john hopkins')",covid 19 live,covid 19 live updates john hopkins,9,1,google,2020-03-17 06:14:58.048225
37,COVID19,"('covid19 status us', 'covid19 status usa')",covid19 status us,covid19 status usa,1,1,google,2020-03-17 06:14:59.180224
38,COVID19,"('covid19 status us', 'covid19 status us map')",covid19 status us,covid19 status us map,2,1,google,2020-03-17 06:14:59.180224
39,COVID19,"('covid19 status us', 'covid19 status usa today')",covid19 status us,covid19 status usa today,3,1,google,2020-03-17 06:14:59.180224
40,COVID19,"('covid19 status us', 'covid19 status usa map')",covid19 status us,covid19 status usa map,4,1,google,2020-03-17 06:14:59.180224
41,COVID19,"('covid 19 status', 'covid 19 status in china')",covid 19 status,covid 19 status in china,1,2,google,2020-03-17 06:15:05.584441
42,COVID19,"('covid 19 status', 'covid 19 status by country')",covid 19 status,covid 19 status by country,2,2,google,2020-03-17 06:15:05.584441
43,COVID19,"('covid 19 status', 'covid 19 status by state')",covid 19 status,covid 19 status by state,3,2,google,2020-03-17 06:15:05.584441
44,COVID19,"('covid 19 status', 'covid 19 status washington state')",covid 19 status,covid 19 status washington state,4,2,google,2020-03-17 06:15:05.584441
45,COVID19,"('covid 19 status', 'covid19 status usa')",covid 19 status,covid19 status usa,5,2,google,2020-03-17 06:15:05.584441
46,COVID19,"('covid 19 status', 'covid 19 status us')",covid 19 status,covid 19 status us,6,2,google,2020-03-17 06:15:05.584441
