query,exploreLink,formattedTraffic
San Francisco,/trends/explore?q=San+Francisco&date=now+7-d&geo=US,2M+
Idris Elba,/trends/explore?q=Idris+Elba&date=now+7-d&geo=US,2M+
CDC,/trends/explore?q=CDC&date=now+7-d&geo=US,1M+
CNN,/trends/explore?q=CNN&date=now+7-d&geo=US,1M+
DeAndre Hopkins,/trends/explore?q=DeAndre+Hopkins&date=now+7-d&geo=US,500K+
Zoom,/trends/explore?q=Zoom&date=now+7-d&geo=US,500K+
CDC coronavirus,/trends/explore?q=CDC+coronavirus&date=now+7-d&geo=US,500K+
NJ curfew,/trends/explore?q=NJ+curfew&date=now+7-d&geo=US,500K+
Planet Fitness,/trends/explore?q=Planet+Fitness&date=now+7-d&geo=US,500K+
Tom Brady,/trends/explore?q=Tom+Brady&date=now+7-d&geo=US,200K+
LA Fitness,/trends/explore?q=LA+Fitness&date=now+7-d&geo=US,200K+
CNN Live,/trends/explore?q=CNN+Live&date=now+7-d&geo=US,200K+
Las Vegas,/trends/explore?q=Las+Vegas&date=now+7-d&geo=US,200K+
Google Hangouts,/trends/explore?q=Google+Hangouts&date=now+7-d&geo=US,200K+
Stefon Diggs,/trends/explore?q=Stefon+Diggs&date=now+7-d&geo=US,200K+
Amari Cooper,/trends/explore?q=Amari+Cooper&date=now+7-d&geo=US,200K+
Austin Hooper,/trends/explore?q=Austin+Hooper&date=now+7-d&geo=US,200K+
Byron Jones,/trends/explore?q=Byron+Jones&date=now+7-d&geo=US,100K+
Teddy Bridgewater,/trends/explore?q=Teddy+Bridgewater&date=now+7-d&geo=US,100K+
Skype,/trends/explore?q=Skype&date=now+7-d&geo=US,100K+
